1 3 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
2 3 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
4 3 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
5 3 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0
6 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
7 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0
8 3 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
9 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
10 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
11 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
12 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
13 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
14 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
15 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
16 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
17 2 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0
18 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
19 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
20 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
21 2 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0
22 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
23 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
24 2 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
25 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
26 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
27 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
28 3 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
29 3 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
30 31 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
31 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0
32 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
33 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
34 3 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
35 3 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
36 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
37 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
38 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
39 3 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0
